Mode,MB,Run,Base_ms,Base_GBps,Pipe_ms,Pipe_Phys_GBps,Pipe_Eff_GBps,H2DComp_ms,Decomp_ms,Kernel_ms,D2H_ms
MEDIUM,256,1,86.277,2.89764,166.454,0.32999,1.50192,9.79226,113.824,2.11623,40.7213
MEDIUM,256,2,86.2741,2.89774,166.456,0.329987,1.5019,9.80193,113.821,2.11191,40.7202
MEDIUM,256,3,86.2747,2.89772,166.449,0.33,1.50196,9.79781,113.82,2.11086,40.7206
MEDIUM,256,4,86.3188,2.89624,166.407,0.330083,1.50234,9.79357,113.802,2.09061,40.7211
MEDIUM,256,5,86.2772,2.89764,166.38,0.330137,1.50258,9.80246,113.787,2.0666,40.7234
MEDIUM,256,6,86.2774,2.89763,166.37,0.330156,1.50267,9.80033,113.783,2.06555,40.7216
MEDIUM,256,7,86.2863,2.89733,166.38,0.330137,1.50259,9.79873,113.792,2.06594,40.7227
MEDIUM,256,8,86.2732,2.89777,166.348,0.330201,1.50288,9.79251,113.761,2.06566,40.7289
MEDIUM,256,9,86.3031,2.89677,166.39,0.330118,1.5025,9.80024,113.804,2.06439,40.7209
MEDIUM,256,10,86.2864,2.89733,166.404,0.330089,1.50237,9.78626,113.832,2.06482,40.7208
MEDIUM,512,1,172.543,2.89783,224.555,0.489212,2.22663,19.4439,119.555,4.12343,81.4326
MEDIUM,512,2,172.544,2.89781,224.62,0.48907,2.22598,19.4586,119.604,4.1235,81.4338
MEDIUM,512,3,172.608,2.89674,224.724,0.488844,2.22495,19.4614,119.703,4.12566,81.4343
MEDIUM,512,4,172.547,2.89776,224.698,0.488901,2.22521,19.4494,119.69,4.125,81.4336
MEDIUM,512,5,172.548,2.89774,224.76,0.488766,2.2246,19.4614,119.741,4.12464,81.4331
MEDIUM,512,6,172.587,2.89709,224.839,0.488594,2.22381,19.4475,119.835,4.12374,81.4325
MEDIUM,512,7,172.542,2.89785,224.704,0.488887,2.22515,19.4499,119.697,4.12416,81.4331
MEDIUM,512,8,172.539,2.89789,224.811,0.488655,2.22409,19.4547,119.798,4.12521,81.4331
MEDIUM,512,9,172.589,2.89706,224.817,0.488641,2.22403,19.453,119.808,4.12391,81.4324
MEDIUM,512,10,172.541,2.89787,224.683,0.488934,2.22536,19.4397,119.689,4.12216,81.4322
MEDIUM,1024,1,345.083,2.89785,344.31,0.638107,2.90436,38.7832,134.358,8.31195,162.857
MEDIUM,1024,2,345.122,2.89752,344.641,0.637495,2.90157,38.7976,134.719,8.2667,162.857
MEDIUM,1024,3,345.136,2.89741,344.592,0.637586,2.90198,38.7684,134.653,8.31382,162.856
MEDIUM,1024,4,345.078,2.8979,344.712,0.637364,2.90098,38.7683,134.775,8.30935,162.859
MEDIUM,1024,5,345.084,2.89785,344.877,0.637059,2.89958,38.7721,134.983,8.26542,162.856
MEDIUM,1024,6,345.126,2.89749,345.192,0.636477,2.89694,38.7685,135.258,8.3102,162.855
MEDIUM,1024,7,345.092,2.89778,344.521,0.637718,2.90258,38.7742,134.577,8.31171,162.857
MEDIUM,1024,8,345.084,2.89785,344.846,0.637115,2.89984,38.7665,134.959,8.26446,162.856
MEDIUM,1024,9,345.128,2.89748,344.916,0.636986,2.89925,38.7415,135.054,8.26452,162.856
MEDIUM,1024,10,345.133,2.89743,345.351,0.636183,2.8956,38.7383,135.44,8.31626,162.857
RANDOM,4,1,1.36266,2.86664,44.8745,0.0873897,0.0870483,0.790672,43.4039,0.037528,0.642282
RANDOM,4,2,1.36182,2.8684,44.8897,0.0873601,0.0870188,0.796167,43.4134,0.037781,0.642255
RANDOM,4,3,1.36248,2.86701,44.8682,0.087402,0.0870605,0.790451,43.3979,0.037476,0.642273
RANDOM,4,4,1.35412,2.88472,44.874,0.0873907,0.0870493,0.791102,43.4024,0.037407,0.642999
RANDOM,4,5,1.36229,2.86741,44.8899,0.0873598,0.0870185,0.79683,43.4134,0.037228,0.642389
RANDOM,4,6,1.36164,2.86878,44.8667,0.0874049,0.0870635,0.789735,43.3968,0.037865,0.642251
RANDOM,4,7,1.35427,2.8844,44.8703,0.0873979,0.0870565,0.787632,43.4028,0.037278,0.642484
RANDOM,4,8,1.36226,2.86747,44.8751,0.0873885,0.0870471,0.787914,43.4055,0.038245,0.643421
RANDOM,4,9,1.35438,2.88416,44.8881,0.0873633,0.087022,0.786406,43.4153,0.037723,0.648556
RANDOM,4,10,1.36214,2.86773,44.8809,0.0873774,0.087036,0.791233,43.4098,0.037461,0.642334
RANDOM,16,1,5.40581,2.89041,49.0962,0.319501,0.318253,2.88172,43.5264,0.135848,2.55211
RANDOM,16,2,5.40234,2.89226,49.126,0.319307,0.31806,2.90752,43.5319,0.134575,2.55191
RANDOM,16,3,5.40887,2.88877,49.1026,0.319459,0.318211,2.88459,43.5318,0.133996,2.55211
RANDOM,16,4,5.40486,2.89092,49.099,0.319482,0.318234,2.8859,43.5274,0.134867,2.55081
RANDOM,16,5,5.40704,2.88975,49.0901,0.319541,0.318292,2.88245,43.5232,0.133824,2.55058
RANDOM,16,6,5.40367,2.89155,49.0975,0.319493,0.318245,2.88273,43.5292,0.134102,2.55134
RANDOM,16,7,5.40098,2.893,49.0912,0.319533,0.318285,2.87841,43.5266,0.135254,2.55086
RANDOM,16,8,5.40345,2.89167,49.0914,0.319532,0.318284,2.87828,43.5283,0.134161,2.55051
RANDOM,16,9,5.40249,2.89219,49.0884,0.319552,0.318303,2.8769,43.5267,0.134041,2.55062
